k,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited
1,1,49,25-May,LAD,,STL,W4-3,GS-6,,99,6,5,2,2,1,7,0,0,3,24,102,69,20,9,9,7,1,3,0,60,,,0,0,0,22,1,0,0,1,0,0,1.32,0.093,1.59,0.07%,1,1t start tie,6t 3 out tie
2,2,54,30-May,LAD,@,NYM,W9-5,GS-4,,4,3.2,5,4,4,4,2,1,0,5.59,20,83,47,20,3,8,6,5,1,0,33,,,0,0,0,15,0,0,0,0,1,0,1.56,-0.305,1.71,-0.20%,-2.77,1b start a 3,4b 123 2 out tie
3,3,59,4-Jun,LAD,,COL,L1-2,GS-5,L(0-1),4,5,5,2,2,4,5,1,0,4.91,22,104,63,20,7,8,5,3,0,0,50,,,0,0,0,18,0,0,0,2,0,0,0.87,0.002,0.98,0.00%,0.5,1t start tie,5t 3 out d2
4,4,64,10-Jun,LAD,@,SDP,W7-2,GS-6,,5,5.1,6,2,2,4,5,0,0,4.5,25,92,58,14,9,6,10,4,0,0,49,,,0,1,1,20,0,0,0,0,0,0,1.39,0.008,1.6,0.01%,0.32,1b start a 1,6b -23 1 out tie
5,5,69,15-Jun,LAD,@,DET,L4-5,GS-4,,4,4,2,0,0,2,2,0,0,3.75,15,65,37,14,3,7,4,1,1,0,58,,,0,0,0,13,0,0,0,1,0,0,0.87,0.221,0.72,0.11%,2.18,1b start tie,4b 3 out tie
6,6,73,20-Jun,LAD,,CLE,L4-6,GS-6,,4,5,4,4,4,3,5,1,0,4.34,21,85,47,19,5,3,10,1,1,0,45,,,0,0,0,18,1,1,0,0,0,0,0.7,-0.147,0.74,-0.09%,-1.49,1t start tie,6t 12- 0 out d3
7,7,78,26-Jun,LAD,,CHW,L0-2,GS-5,L(0-2),5,4,6,2,2,4,3,0,0,4.36,21,69,40,14,5,10,4,2,0,0,41,,,0,0,0,16,1,0,1,2,0,1,1.13,-0.102,1.24,-0.07%,-0.99,1t start tie,5t 12- 0 out d2
8,8,83,1-Jul,LAD,@,HOU,W7-6,GS-6,,4,5.2,6,3,3,2,4,0,0,4.42,24,90,55,22,5,11,7,1,1,0,47,,,0,0,0,22,1,0,0,1,0,0,0.99,0.146,1.09,0.10%,1.37,1b start a 2,6b -23 2 out a5
9,9,100,22-Jul,LAD,@,COL,L1-10,GS-4,L(0-3),20,3,10,5,5,3,2,1,0,5.18,21,74,42,11,1,8,8,4,0,0,18,,,0,0,0,18,1,0,1,1,0,0,0.9,-0.28,1.46,-0.27%,-5.18,1b start tie,4b 123 0 out d5
10,10,104,27-Jul,LAD,,WSN,W2-0,GS-7,W(1-3),4,6,4,0,0,1,5,0,0,4.53,22,86,57,19,5,11,5,1,0,0,68,,,1,0,0,21,1,0,0,1,0,1,1.02,0.293,1.52,0.26%,2.62,1t start tie,7t 1-- 0 out a2
11,11,109,1-Aug,LAD,,ARI,L1-2,GS-6,,4,6,4,0,0,1,3,0,0,4.02,23,89,57,17,7,13,6,2,1,0,66,,,0,0,0,22,1,1,0,0,0,0,1.1,0.355,2.87,0.56%,3,1t start tie,6t 3 out tie
12,12,114,7-Aug,LAD,@,STL,W4-1,GS-7,W(2-3),5,7,3,1,1,4,7,0,0,3.71,27,108,66,19,14,9,7,4,2,0,70,,,1,0,0,23,0,0,0,0,0,0,0.8,0.286,1.16,0.25%,2.5,1b start a 1,7b 3 out a3
13,13,119,12-Aug,LAD,,PHI,W4-3,GS-6,,4,6,6,3,3,2,8,1,0,3.78,26,100,59,24,10,6,10,3,0,0,54,,,1,0,0,23,2,0,0,0,1,0,0.83,-0.061,1.39,-0.06%,0,1t start tie,6t 3 out d2
14,14,124,17-Aug,LAD,,MIL,W7-5,GS-6,,4,6,8,1,1,1,6,1,0,3.59,26,96,59,17,14,8,11,2,2,0,57,,,0,0,0,25,1,0,0,1,0,0,1.17,0.213,2.01,0.22%,2,1t start tie,6t 3 out a3
15,15,129,23-Aug,LAD,@,PHI,L2-9,GS-5,L(2-4),5,4,7,6,6,2,5,1,1,4.11,22,91,52,18,8,5,9,4,0,0,27,,,0,0,0,19,2,0,0,0,0,0,0.86,-0.346,1.36,-0.33%,-4.55,1b start tie,5b -2- 0 out d4
16,16,134,28-Aug,LAD,@,WSN,L2-11,GS-3,L(2-5),4,2.1,5,5,5,3,2,2,0,4.56,14,54,30,10,5,4,5,3,0,0,26,,,0,0,0,11,1,0,0,0,0,0,0.76,-0.409,1.12,-0.36%,-4.02,1b start a 2,3b 1-- 1 out d3
17,17,139,2-Sep,LAD,,SDP,W8-4,GS-8,W(3-5),4,7,3,3,3,3,6,0,0,4.5,28,99,66,18,12,12,7,3,0,0,62,,,0,0,0,25,1,0,0,0,0,1,0.41,0.202,0.73,0.22%,1.51,1t start tie,8t 12- 0 out a7
18,18,143,7-Sep,LAD,,ARI,W5-3,GS-4,,4,4,6,3,3,1,4,2,0,4.6,19,92,54,15,6,5,9,5,1,0,41,,,0,0,0,18,2,0,0,0,0,0,1.21,-0.13,6.17,-0.40%,-1,1t start tie,4t 3 out d1
19,19,148,13-Sep,LAD,@,COL,W5-1,GS-6,W(4-5),5,6,4,1,1,2,7,0,0,4.41,22,90,57,18,9,6,7,4,2,0,65,,,1,1,1,20,0,0,0,1,0,0,0.87,0.207,1.29,0.18%,2.34,1b start tie,6b 3 out a4
20,20,153,18-Sep,LAD,@,PIT,W4-3,GS-5,,4,5,2,1,1,2,5,0,0,4.28,19,86,48,12,10,3,9,2,3,0,62,,,1,0,0,16,1,0,0,0,1,0,0.91,0.168,0.87,0.10%,1.45,1b start tie,5b 3 out a1
21,21,158,24-Sep,LAD,,SDP,W12-4,GS-6,W(5-5),5,5.2,6,3,3,2,7,0,0,4.3,24,91,62,21,9,10,5,2,0,0,50,,,0,0,0,22,4,0,0,1,0,0,1.09,-0.068,1.14,-0.04%,-0.32,1t start tie,6t -2- 2 out a1
22,22,162,28-Sep,LAD,@,SFG,L1-3,6-Jun,H(1),3,1,2,0,0,1,0,0,0,4.26,5,13,5,0,0,1,3,2,0,0,,0,0,0,0,0,4,1,0,1,0,0,0,2.66,0.089,0,0.00%,0.52,6b --- 0 out a1,6b 3 out a1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
